3  de  enero  2013,Boletín Oficial de la Junta de Andalucía ,Núm. 2  página 103,,,
,,,,,
ESTADO DE GASTOS,,Detalle por conceptos y subconceptos,,,
CONCEPTO/PROGRAMA,422 D,541 A,321 B,TOTALES,
CAPITULO 1º. GASTOS DE PERSONAL,,,,,
110 Personal eventual,"360,000",,,,"360,000"
120 Funcionarios. Retribuciones básicas,55.624.330,,"19,732",55.644.062,
121 Funcionarios. Retribuciones complementarias,84.273.857,,"28,328",84.302.185,
130 Personal laboral. Retribuciones básicas,15.265.774,,,15.265.774,
131 Personal laboral. Otras remuneraciones,44.065.247,,,44.065.247,
134. Personal laboral de sustituciones,4.140.000,,,4.140.000,
143 Personal colaboración social,"300,000",,,,"300,000"
145 Retribuciones Asociados (LRU),"25,444",,,,"25,444"
146 Retribuciones Asociados Ciencias de la Salud (LRU),"697,687",,,,"697,687"
150 Productividad,13.148.402,,"6,599",13.155.001,
151 Gratificaciones,"3,000",,,,"3,000"
160 Cuotas sociales,29.115.825,,,29.115.825,
162.00 Prestaciones. Indemnización por jubilación,3.000.000,,,3.000.000,
"162,01 Formación y Perfeccionamiento del PAS","200,000",,,,"200,000"
162.05 Plan de acción social,"869,331",,,,"869,331"
162.05 Plan de Acción Social. Beneficios en precios publicos,"840,000",,,,"840,000"
162.07 Prestaciones. Complemento a la prestación por I.T.,"800,000",,,,"800,000"
TOTAL CAPITULO 1º,252.728.898,0,"54,659",252.783.557,
CAPITULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,,,,,
202 Arrendamiento de edificios y otros,"20.000,00","2,000","250,000",,"272,000"
"203 Arrendamiento de maquinaria, instalac.y utillaje","20.000,00","2,000","50,000",,"72,000"
204 Arrendamiento de material de transporte,"2.000,00","2,000","5,000",,"9,000"
205 Arrendamiento de mobiliario y enseres,"20.000,00","2,000","60,000",,"82,000"
206 Arrendamiento de equipos informáticos,"2,000","2,000","2,000",,"6,000"
208 Arrendamiento de otro inmovilizado material,"2,000","2,000","2,000",,"6,000"
"212 Reparación, Mantenimiento y conservación de edificios y otros","400,000","100,000",1.326.464,1.826.464,
"213 Reparación, Mantenimiento y conserv.maquinaria, instalaciones y utillaje","400,000","75,000","775,000",1.250.000,
"214 Reparación, Mantenimiento y  conserv.material de transporte","2,000","2,000","20,000",,"24,000"
"215 Reparación, Mantenimiento y conserv. mobiliario y enseres","150,000","15,000","200,000",,"365,000"
"216 Reparación, Mantenimiento y conserv. Equipos de información","150,000","75,000","600,000",,"825,000"
217 Mantenimiento general y optimización energética,,,1.200.000,1.200.000,
220 Material de oficina,1.600.000,"110,000",2.220.185,3.930.185,
221 Suministros,2.550.000,"125,000",6.000.000,8.675.000,
222 Comunicaciones,"100,000","15,000",1.100.000,1.215.000,
223 Transportes,"250,000","2,000","300,000",,"552,000"
224 Primas de seguros,"60,000","5,000","200,000",,"265,000"
225 Tributos,"200,000","5,000","100,000",,"305,000"
"226 Gastos diversos(excepto subconcepto 226,01)",2.926.596,"74,940",4.269.850,7.271.386,
226.01 Atenciones protocolarias y de representación,"300,000","10,000","250,000",,"560,000"
227 Trabajos realizados por otras empresas,"900,000","80,000",5.300.000,6.280.000,
230 Dietas,"900,000","50,000","608,750",1.558.750,
231  Locomoción,"800,000","50,000","600,000",1.450.000,
TOTAL CAPITULO 2º,11.754.596,"805,940",25.439.249,37.999.785,
CAPITULO 3º. GASTOS FINANCIEROS,,,,,
310 Intereses operaciones a corto plazo,,,"175,000",,"175,000"
"311 Gastos de emisión, modificación y cancelación",,,"25,000",,"25,000"
TOTAL CAPITULO 3º,0,0,"200,000",,"200,000"
CAPITULO 4º. TRANSFERENCIAS CORRIENTES,,,,,
"480,00  Becas  y ayudas propias a estudiantes",1.207.500,,,1.207.500,
480.03 A Asociaciones estudiantiles,"150,000",,,,"150,000"
"480,04 Plan Propio de Prácticas en Empresas y Entidades sin fines lucro",1.075.000,,,1.075.000,
"480,08 Plan Propio de Ayudas Sociales a Estudiantes","180,000",,,,"180,000"
483 Becas Programas Europeos,10.250.000,,,10.250.000,
484 Convenio con otras instituciones,,,"35,000",,"35,000"
"485 A Fundaciones y otras instituciones(Excepto 485,03)",,,"500,000",,"500,000"
485 A Fundaciones y otras instituciones  Consejo Social,,,"8,259",,"8,259"
485.03 Al Centro Mediterráneo,,,"38,495",,"38,495"
485.05 Otros Planes de Apoyo Junta de Andalucía,1.915.000,,,1.915.000,
490.11 Cuotas y contrib.organismos internacionales,"30,000",,,,"30,000"
TOTAL CAPITULO 4º,14.807.500,0,"581,754",15.389.254,
TOTAL OPERACIONES CORRIENTES,279.290.993,"805,940",26.275.662,306.372.595,
CAPITULO 6º. INVERSIONES REALES,,,,,
602.00 Construcciones propias,,,3.517.282,3.517.282,
"603.00 Maquinaria Centros, Departamentos y Servicios",,,"500,000",,"500,000"
603.03 Maquinaria (Equipamiento Gral.Docente),,,"400,000",,"400,000"
603.04 Maquinaria (Equipamiento de gestión),,,"100,000",,"100,000"
603.05 Maquinaria (Equipamiento en prevención de riesgos),,,"120,000",,"120,000"
"605.00 Mobiliario y enseres Centros, Depart. y Servicios",,,1.476.840,1.476.840,
605.03 Mobiliario y enseres (Equip.Gral.docente),,,"400,000",,"400,000"
605.04 Mobiliario y enseres (Equipamiento de gestión),,,"75,000",,"75,000"
605.05 Mobiliario y enseres (Equip. en prevención de riesgos),,,"200,000",,"200,000"
"606,00 Sistemas procesos información. Centros, Departamentos y Servic.",,,1.000.000,1.000.000,
"606,01 Sistemas procesos información. CSIRC",,,"240,000",,"240,000"
"606,02 Sistemas procesos información.Enseñanzas Virtuales",,,"300,000",,"300,000"
"606,05 Sistemas procesos  informaciòn de Gestión",,,"150,000",,"150,000"
608 Inversiones bibliográficas,"400,000",3.600.000,"25,000",4.025.000,
621 Plan Plurianual Inversiones 2006/2010 (año 2011),,,20.000.000,20.000.000,
631 Programa FEDER 2007/13,,7.000.000,,7.000.000,
"635,03  Actuaciones INNPLANTA 2012",,,"250,000",,"250,000"
640 Investigación Científica,,32.201.673,,32.201.673,
"641,00 Plan Propio de Investigación Científica",,3.360.000,,3.360.000,
"641,02 Plan Propio de Fomento de la Productividad Investigadora",,1.000.000,,1.000.000,
642 Programas de Proyección Internacional y Promoción Lingüística,"70,000",,,,"70,000"
"644 Plan de Innovación, Calidad Docente y EEES.","900,000",,,,"900,000"
645 Actuaciones Fomento de Empleo,"400,000",,,,"400,000"
648 Plan Propio de Internacionalización,"715,000",,,,"715,000"
662 Inversiones propias de reposición,,,8.000.000,8.000.000,
TOTAL CAPITULO 6º,2.485.000,47.161.673,36.754.122,86.400.795,
CAPITULO 7º. TRANSFERENCIAS DE CAPITAL,,,,,
"780,05  Plan Propio para Promoción del Autoempleo","250,000",,,,"250,000"
784 Ayudas diversas Consejo Social,,,"12,000",,"12,000"
"785,09 A otras Instituciones. Parque de las Ciencias",,,"125,000",,"125,000"
TOTAL CAPITULO 7º,"250,000",0,"137,000",,"387,000"
CAPITULO 8º. ACTIVOS FINANCIEROS,,,,,
831.00 Anticipos y préstamos a Personal Universidad G.A.S.,"650,000",,,,"650,000"
"831,01 Linea especial de anticipos","500,000",,,,"500,000"
TOTAL CAPITULO 8º,1.150.000,0,0,1.150.000,
CAPITULO 9º. PASIVOS FINANCIEROS,,,,,
911 Amortización de préstamos a largo plazo. Sector Público,,,1.127.217,1.127.217,
TOTAL CAPITULO 9º,0,0,1.127.217,1.127.217,
TOTAL OPERACIONES CAPITAL,3.885.000,47.161.673,38.018.339,89.065.012,?
